,0,"""require""",STRLIT,EXPRESSION,"""function""",IDENTIFIER,"""(""",""")""","""end""",""":""",TYPE,""",""","""global""","""=""","""local""","""if""","""then""","""else""","""elsif""","""while""","""do""","""return""","""for""","""repeat""","""until""",$,
T0,,"""require"" STRLIT T1, 1",,,,,,,,,,,,,,,,,,,,,,,,,
T1,,,,"EXPRESSION T1, 5","T2 T1, 3",,,,,,,,"T3 T1, 4",,,,,,,,,,,,,"ε, 2",
T2,,,,,"""function"" IDENTIFIER ""("" T4 "")"" T5 T6 ""end"", 6",,,,,,,,,,,,,,,,,,,,,,
T3,,,,,,,,,,,,,"""global"" IDENTIFIER "":"" T7, 12",,,,,,,,,,,,,,
T4,,,,,,"T8 T9, 8",,"ε, 7",,,,,,,,,,,,,,,,,,,
T5,,,,"ε, 21",,"ε, 21",,,"ε, 21",""":"" TYPE T10, 22",,,,,"ε, 21","ε, 21",,,,"ε, 21",,"ε, 21","ε, 21","ε, 21",,,
T6,,,,"EXPRESSION T6, 24",,"T11 T6, 25",,,"ε, 23",,,,,,"T12 T6, 26","T13 T6, 27",,,,"T14 T6, 28",,"T15 T6, 29","T16 T6, 30","T17, 31",,,
T7,,,,,"""function"" ""("" T18 "")"" T19, 13",,,,,,"TYPE T20, 14",,,,,,,,,,,,,,,,
T8,,,,,,"IDENTIFIER "":"" TYPE, 9",,,,,,,,,,,,,,,,,,,,,
T9,,,,,,,,"ε, 10",,,,""","" T8 T9, 11",,,,,,,,,,,,,,,
T10,,,,"ε, 17",,"ε, 17",,,"ε, 17",,,""","" TYPE T10, 18",,,"ε, 17","ε, 17",,,,"ε, 17",,"ε, 17","ε, 17","ε, 17",,,
T11,,,,,,"IDENTIFIER T21 ""="" EXPRESSION T22, 32",,,,,,,,,,,,,,,,,,,,,
T12,,,,,,,,,,,,,,,"""local"" IDENTIFIER "":"" T23, 37",,,,,,,,,,,,
T13,,,,,,,,,,,,,,,,"""if"" EXPRESSION ""then"" T24 T25 T26 ""end"", 38",,,,,,,,,,,
T14,,,,,,,,,,,,,,,,,,,,"""while"" EXPRESSION ""do"" T6 ""end"", 43",,,,,,,
T15,,,,,,,,,,,,,,,,,,,,,,"""return"" T22, 44",,,,,
T16,,,,,,,,,,,,,,,,,,,,,,,"""for"" IDENTIFIER ""="" EXPRESSION "","" EXPRESSION T27 ""do"" T6 ""end"", 45",,,,
T17,,,,,,,,,,,,,,,,,,,,,,,,"""repeat"" T28 ""until"" EXPRESSION, 48",,,
T18,,,,,,,,"ε, 15",,,"TYPE T29, 16",,,,,,,,,,,,,,,,
T19,,,,"ε, 21","ε, 21",,,,,""":"" TYPE T30, 22",,,"ε, 21",,,,,,,,,,,,,"ε, 21",
T20,,,,"ε, 19","ε, 19",,,,,,,,"ε, 19","""="" EXPRESSION, 20",,,,,,,,,,,,"ε, 19",
T21,,,,,,,,,,,,""","" IDENTIFIER T21, 34",,"ε, 33",,,,,,,,,,,,,
T22,,,,"ε, 35",,"ε, 35",,,"ε, 35",,,""","" EXPRESSION T22, 36",,,"ε, 35","ε, 35",,,,"ε, 35",,"ε, 35","ε, 35","ε, 35",,,
T23,,,,,"""function"" ""("" T18 "")"" T5, 13",,,,,,"TYPE T31, 14",,,,,,,,,,,,,,,,
